Date,State,Holiday
2008-01-01,qld,New Year's Day
2008-01-26,qld,Australia Day
2008-03-21,qld,Good Friday
2008-03-24,qld,Easter Monday
2008-04-25,qld,Anzac Day
2008-06-09,qld,Queens Birthday
2008-12-25,qld,Christmas Day
2008-12-26,qld,Boxing Day
2009-01-01,qld,New Year's Day
2009-01-26,qld,Australia Day
2009-04-10,qld,Good Friday
2009-04-13,qld,Easter Monday
2009-04-25,qld,Anzac Day
2009-06-08,qld,Queens Birthday
2009-12-25,qld,Christmas Day
2009-12-28,qld,Boxing Day (in lieu)
2010-01-01,qld,New Year's Day
2010-01-26,qld,Australia Day
2010-04-02,qld,Good Friday
2010-04-05,qld,Easter Monday
2010-04-25,qld,Anzac Day
2010-06-14,qld,Queens Birthday
2010-12-25,qld,Christmas Day
2010-12-26,qld,Boxing Day
2010-12-27,qld,Christmas Holiday
2010-12-28,qld,Christmas Holiday
2011-01-03,qld,New Years Day (in lieu)
2011-01-26,qld,Australia Day
2011-04-22,qld,Good Friday
2011-04-25,qld,Anzac Day
2011-04-26,qld,Easter Monday (in Lieu)
2011-05-02,qld,Labour Day
2011-06-13,qld,Queens Birthday
2011-12-25,qld,Christmas Day
2011-12-26,qld,Christmas Holiday
2011-12-27,qld,Christmas Holiday
2012-01-01,qld,New Year's Day
2012-01-02,qld,New Years Day (in lieu)
2012-01-26,qld,Australia Day
2012-04-06,qld,Good Friday
2012-04-09,qld,Easter Monday
2012-04-25,qld,Anzac Day
2012-05-07,qld,Labour Day
2012-06-11,qld,Queens Diamond Jubilee
2012-10-01,qld,Queens Birthday
2012-12-25,qld,Christmas Day
2012-12-26,qld,Boxing Day
2013-01-01,qld,New Year's Day
2013-01-28,qld,Australia Day (observed)
2013-03-29,qld,Good Friday
2013-04-01,qld,Easter Monday
2013-04-25,qld,Anzac Day
2013-06-10,qld,Queens Birthday
2013-10-07,qld,Labour Day
2013-12-25,qld,Christmas Day
2013-12-26,qld,Boxing Day
2014-01-01,qld,New Year's Day
2014-01-27,qld,Australia Day (observed)
2014-04-18,qld,Good Friday
2014-04-21,qld,Easter Monday
2014-04-25,qld,Anzac Day
2014-06-09,qld,Queens Birthday
2014-08-13,qld,Ekka People's Day
2014-10-06,qld,Labour Day
2014-11-14,qld,Public Holiday
2014-12-25,qld,Christmas Day
2014-12-26,qld,Boxing Day
2015-01-01,qld,New Years Day
2015-01-26,qld,Australia Day
2015-04-03,qld,Good Friday
2015-04-06,qld,Easter Monday
2015-04-25,qld,Anzac Day
2015-06-08,qld,Queens Birthday
2015-08-12,qld,Ekka People's Day
2015-10-05,qld,Labour Day
2015-12-25,qld,Christmas Day
2015-12-26,qld,Boxing Day
2015-12-28,qld,Boxing Day (in lieu)
2016-01-01,qld,New Years Day
2016-01-26,qld,Australia Day
2016-03-25,qld,Good Friday
2016-03-26,qld,Easter Saturday
2016-03-28,qld,Easter Monday
2016-04-25,qld,Anzac Day
2016-05-02,qld,Labour Day
2016-08-10,qld,Ekka People's Day
2016-10-03,qld,Queens Birthday
2016-12-25,qld,Christmas Day
2016-12-26,qld,Boxing Day
2016-12-27,qld,Christmas Day (in lieu)
2017-01-01,qld,New Years Day
2017-01-02,qld,New Years Holiday
2017-01-26,qld,Australia Day
2017-04-14,qld,Good Friday
2017-04-15,qld,Easter Saturday
2017-04-16,qld,Easter Sunday
2017-04-17,qld,Easter Monday
2017-04-25,qld,Anzac Day
2017-05-01,qld,Labour Day
2017-08-16,qld,Ekka People's Day
2017-10-02,qld,Queens Birthday
2017-12-25,qld,Christmas Day
2017-12-26,qld,Boxing Day
2018-01-01,qld,New Year's Day
2018-01-26,qld,Australia Day
2018-03-30,qld,Good Friday
2018-03-31,qld,Easter Saturday
2018-04-01,qld,Easter Sunday
2018-04-02,qld,Easter Monday
2018-04-25,qld,Anzac Day
2018-05-07,qld,Labour Day
2018-08-15,qld,Ekka People's Day
2018-10-01,qld,Queens Birthday
2018-12-25,qld,Christmas Day
2018-12-26,qld,Boxing Day
2008-01-01,nsw,New Year's Day
2008-01-26,nsw,Australia Day
2008-03-21,nsw,Good Friday
2008-03-24,nsw,Easter Monday
2008-04-25,nsw,Anzac Day
2008-06-09,nsw,Queens Birthday
2008-12-25,nsw,Christmas Day
2008-12-26,nsw,Boxing Day
2009-01-01,nsw,New Year's Day
2009-01-26,nsw,Australia Day
2009-04-10,nsw,Good Friday
2009-04-13,nsw,Easter Monday
2009-04-25,nsw,Anzac Day
2009-06-08,nsw,Queens Birthday
2009-12-25,nsw,Christmas Day
2009-12-28,nsw,Boxing Day (in lieu)
2010-01-01,nsw,New Year's Day
2010-01-26,nsw,Australia Day
2010-04-02,nsw,Good Friday
2010-04-05,nsw,Easter Monday
2010-04-25,nsw,Anzac Day
2010-06-14,nsw,Queens Birthday
